ds,yhat,yhat_lower,yhat_upper
2018-01-01,31741.8501775287,27907.496980853375,35379.91086909669
2018-01-02,32407.11572370892,28951.372473655778,35954.37887110037
2018-01-03,32493.240050532666,28700.559564008836,36320.17897085652
2018-01-04,32421.00421055759,28891.915069695366,35962.015295848665
2018-01-05,32144.33283578684,28460.556832756523,35660.75993669509
2018-01-06,29754.3175888753,26052.168019431207,33282.62118087935
2018-01-07,29146.859975624295,25674.367650046825,32792.31746798879
2018-01-08,32581.481282779307,28969.128692614115,36290.89859456971
2018-01-09,33347.89980600321,29674.309227242662,37228.787020332726
2018-01-10,33519.5976010631,30011.216023604888,37471.407399478434
2018-01-11,33515.360499933704,29920.981589059735,37159.24541666437
2018-01-12,33287.56822615776,29860.60224513778,37116.286461762014
2018-01-13,30926.25078558359,27186.50355774038,34662.57804464519
2018-01-14,30326.75128294972,26541.190366028393,34098.6177999527
2018-01-15,33748.54251424351,30402.8481810971,37343.89730640963
2018-01-16,34481.79745078595,30711.198588466166,38073.954432619845
2018-01-17,34600.936163454244,30821.407398495034,38211.404196854965
2018-01-18,34526.13359714477,30845.29399279897,38258.27537739373
2018-01-19,34211.566030436225,30740.34823381528,38040.16556669963
2018-01-20,31749.413699289624,28025.995103425983,35346.79970709879
2018-01-21,31037.461301899843,27298.54008751342,34620.92520186953
2018-01-22,34337.84551969194,30769.99104873173,38256.87678004082
2018-01-23,34943.55162278861,31319.217614616773,38667.63791971834
2018-01-24,34931.88377258286,31189.247148063045,38279.69861196013
2018-01-25,34725.89554916209,31002.010567884143,38326.68856698335
2018-01-26,34282.56065058733,30422.36112554633,37940.70688724131
2018-01-27,31696.703290234218,28219.925270110776,35337.146573272046
2018-01-28,30868.531936027204,27239.328805397323,34463.750871551354
2018-01-29,34062.32727935868,30203.19983583787,37812.641363005525
2018-01-30,34572.88803457695,30879.46321117093,38368.173310562284
2018-01-31,34478.96045208946,30803.980065298656,37940.537230637354
2018-02-01,34204.639049414734,30549.783416247854,37873.5183178243
2018-02-02,33707.519164407844,29983.45197711861,37323.24421823001
2018-02-03,31082.621180575352,27252.48408939884,34574.918453556056
2018-02-04,30229.930052056377,26798.363671974297,33744.94802151771
2018-02-05,33413.10066488286,29723.757300871544,37191.151994446
2018-02-06,33925.93196187794,30002.602073095062,37392.512828085644
2018-02-07,33845.834742004714,30220.897429681452,37477.08574880973
2018-02-08,33595.27939754634,29745.273771910197,37378.780116146634
2018-02-09,33130.00272267921,29650.990170588797,36665.61023570275
2018-02-10,30542.99198683561,27075.117343444785,34146.740553427866
2018-02-11,29732.088107872612,25865.514525610964,33392.51264319704
2018-02-12,32958.75658524812,29398.839108227796,36560.33882021631
2018-02-13,33514.627215542816,29653.418703695817,37298.49827426471
2018-02-14,33475.02562168848,29863.26573828969,37134.0032033561
2018-02-15,33260.48105957833,29540.238915259677,36783.24144754099
2018-02-16,32824.98796598425,29396.891118372827,36738.6238918165
2018-02-17,30260.037948244684,26771.381555126325,33705.4761690226
2018-02-18,29462.26277551562,25879.32928223292,33174.206887672975
2018-02-19,32692.236008099833,29015.22627154505,36326.40738164542
2018-02-20,33241.03354212537,29661.164780580013,36645.231372611895
2018-02-21,33183.77565192566,29333.615243346696,36791.74986166667
2018-02-22,32941.134851237686,29740.121718764374,36632.06778496363
